"Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years"
"285,43.1212,-80.2496,0,95,0,0,15,0,89,18,65,0,65,30,88,18,92,40,64,42"
"240,43.06181,-79.9638,0,100,0,0,10,0,93,16,76,-10,79,15,93,-1,96,13,81,18"
"265,43.18154,-80.236,5,100,0,5,15,0,81,-2,73,-7,54,-19,67,23,67,29,21,-4"
"255,43.17546,-80.2852,0,100,0,0,10,0,90,4,90,-2,70,5,89,9,92,8,64,16"
"355,43.22801,-80.4171,0,95,0,0,10,0,94,18,94,15,82,23,94,7,97,16,40,-28"
"150,42.74055,-80.5818,0,100,0,0,5,0,84,-11,74,-26,68,-18,94,7,89,2,33,-32"
"440,43.11262,-80.2969,5,95,5,0,10,0,80,16,55,-12,67,16,83,-7,85,-2,64,3"
"225,42.9263,-80.2931,0,100,0,0,10,0,77,-10,68,-5,59,-14,88,0,82,0,53,-6"
"280,42.85253,-80.4887,0,100,5,0,5,0,70,-6,88,20,76,24,93,5,93,17,74,-6"
"365,43.12416,-80.2943,0,100,5,5,10,5,93,5,97,11,73,6,84,2,93,13,50,15"
"450,42.83245,-80.2952,0,100,0,0,15,0,90,10,92,3,88,20,96,11,92,9,52,10"
"315,43.18406,-80.2685,0,100,0,0,15,0,82,19,87,48,61,22,89,-5,89,0,59,15"
"130,42.9571,-80.0572,0,100,0,0,15,0,87,20,67,-13,40,-20,83,7,50,-9,50,15"
"195,42.90629,-79.6201,5,100,5,5,5,0,78,0,89,6,74,9,75,-7,94,26,50,14"
"175,43.07555,-79.9473,5,100,0,0,10,0,93,17,93,22,67,-4,100,7,100,21,28,-36"
"150,43.14332,-80.2197,5,95,0,5,10,0,92,39,77,24,46,5,100,9,96,5,62,-6"
"205,43.16488,-80.2723,5,100,0,0,15,0,53,10,36,-25,36,4,79,-11,79,-8,45,0"
"125,42.94849,-79.8579,0,100,0,0,10,0,82,29,71,18,82,29,92,5,100,27,75,28"
"145,43.13095,-80.3284,5,95,5,5,10,0,56,-32,52,-29,59,-16,94,19,88,5,44,2"
"325,44.06793,-81.2104,0,95,0,0,10,0,81,-19,100,0,58,-12,100,9,100,4,46,-28"
"295,44.14849,-81.0259,5,100,0,0,20,0,77,8,71,-8,45,0,62,-14,62,-9,16,-28"
"470,44.17023,-81.6228,5,95,0,0,15,0,84,19,73,-4,51,-12,80,-12,73,-11,34,-28"
"230,44.43693,-81.3926,0,100,0,0,10,0,75,-1,75,-6,38,-19,79,11,79,6,29,-7"
"125,44.18514,-80.8221,0,100,0,0,20,0,88,-4,50,-42,69,-8,88,6,100,6,44,-3"
"285,44.11552,-81.1478,0,100,0,0,10,0,54,-26,54,-31,17,-58,84,-16,80,-12,68,-17"
"385,45.2309,-76.1834,0,95,0,0,20,0,88,11,88,1,75,10,76,5,82,11,27,-14"
"170,45.2141,-74.5961,0,90,0,0,20,0,100,20,100,7,80,7,100,13,100,4,86,34"
"235,45.0034,-74.9915,0,100,0,0,10,0,93,36,67,-33,37,1,95,-5,86,-7,57,-10"
"200,45.0965,-74.8003,0,95,5,5,30,0,87,11,87,16,61,8,87,23,90,30,19,11"
"125,45.3051,-74.632,10,100,0,0,40,0,65,15,65,-6,35,-8,58,-23,58,-23,0,-56"
"185,44.74075,-75.9986,0,100,0,0,25,0,92,21,84,1,72,5,88,6,82,0,6,-35"
"325,44.33423,-76.1634,5,100,0,0,20,0,92,7,92,-5,72,-5,91,5,91,2,50,-4"
"275,45.5308,-74.6455,30,70,0,0,20,0,76,39,55,7,48,18,68,-3,71,9,29,14"
"255,44.8957,-75.1876,0,100,0,0,20,0,87,4,79,-9,55,-24,75,-14,86,8,36,-25"
"370,44.72303,-75.5147,0,100,0,0,25,0,79,13,83,36,34,-13,84,1,84,3,45,-4"
"210,43.90018,-78.8899,60,55,10,10,0,0,92,3,81,6,88,20,94,0,94,0,88,6"
"410,43.66801,-79.4557,45,60,5,5,10,0,100,3,95,15,93,3,94,-2,86,-6,92,-4"
"340,43.47168,-80.5079,40,65,0,0,10,0,85,-2,76,0,72,-12,95,-5,91,11,81,5"
"170,43.19588,-79.2492,35,75,5,5,5,0,85,6,46,-7,54,-14,94,21,88,41,88,21"
"195,43.10604,-79.0992,30,80,5,5,10,0,50,-17,31,-19,44,-14,100,21,82,11,91,55"
"190,43.90215,-80.1073,25,80,0,0,5,0,75,-19,31,-57,62,-14,94,-6,88,-12,88,-12"
"140,43.16401,-79.2412,55,45,0,5,15,0,88,11,76,19,76,6,89,10,63,13,79,8"
"250,43.85,-79.5246,50,70,5,0,0,0,94,16,94,9,88,18,98,0,98,0,98,0"
"150,44.2863,-79.8833,60,45,0,0,10,0,88,-12,72,-12,68,-8,100,6,85,-15,92,3"
"220,44.29177,-78.3207,50,50,0,0,10,0,96,1,100,0,89,14,100,5,96,10,85,-10"
"415,43.2342,-79.8917,60,50,5,5,10,0,84,8,78,2,75,14,88,0,72,1,78,-1"
"200,43.2419,-79.8361,70,45,10,10,15,0,68,2,30,-1,43,-5,92,6,46,-25,77,10"
"130,43.0684,-79.1026,40,60,0,0,10,0,80,9,60,-40,67,3,87,7,67,-28,87,17"
"225,43.9678,-79.2545,50,65,5,5,15,0,89,2,56,-21,63,-17,96,-4,91,-9,87,-8"
"130,42.9808,-79.2313,60,40,0,5,20,0,52,-24,38,-33,43,-28,85,23,54,30,85,23"
"250,43.5428,-79.6671,60,60,5,5,5,0,94,0,88,-4,88,-4,98,1,94,2,88,-9"
"135,43.80499,-79.2639,80,35,15,15,5,0,79,4,88,13,67,-16,100,0,100,0,87,5"
"135,42.89329,-79.2351,25,75,0,5,15,0,65,-27,47,-24,47,-24,100,33,69,16,69,2"
"160,43.3233,-79.8241,40,60,0,0,15,0,84,-10,65,-19,81,-16,82,-9,65,-24,71,-18"
"255,43.52225,-80.2435,25,80,0,0,10,0,88,-3,69,-20,58,-13,84,-12,79,-17,84,-9"
"270,43.71064,-79.7365,60,55,0,5,10,0,93,-5,81,-17,80,-9,94,1,88,6,73,-9"
"165,43.1249,-80.2694,50,55,0,0,10,0,74,-7,39,-28,30,-56,94,9,56,-44,75,-10"
"185,43.86404,-79.3583,65,70,5,10,10,0,94,-1,91,-9,91,-4,97,0,97,-3,93,-4"
"100,43.13357,-79.2192,30,65,5,0,25,0,86,36,86,36,86,53,88,-6,62,-32,62,-38"
"340,43.63589,-79.5059,65,45,0,0,10,0,92,-2,82,-9,84,-5,98,2,91,-1,92,2"
"335,43.442,-79.6864,60,50,5,5,10,0,97,-1,86,7,81,-15,98,-2,92,2,95,-3"
"125,43.6309,-79.8875,45,70,0,0,10,0,92,8,85,-3,77,-11,88,-1,65,-24,76,-7"
"210,42.995,-79.274,60,40,0,0,20,0,75,6,67,-5,58,-20,92,-1,68,-5,81,-2"
"250,46.6107,-81.0014,55,45,0,0,15,0,80,27,63,-1,37,-5,94,-6,70,-5,76,-14"
"285,46.372,-79.9409,70,35,0,0,20,0,50,-17,45,2,40,11,75,-25,56,-32,56,-19"
"260,49.4205,-82.4266,70,30,0,0,15,0,87,-2,91,-3,70,-13,90,0,67,-26,53,-34"
"180,46.36026,-79.9236,85,20,5,0,25,0,64,-12,64,-7,50,-26,65,-13,45,-25,55,-23"
"250,46.18594,-79.2784,70,25,0,0,15,0,69,3,52,-3,55,14,88,-7,56,-30,72,-14"
"230,46.37352,-79.9213,85,15,0,0,20,0,90,3,67,-17,60,-21,92,8,50,-31,58,-10"
"245,49.07082,-81.0142,55,50,0,0,10,0,70,9,50,11,70,9,88,15,64,-9,88,19"
"140,45.41164,-75.6796,50,50,0,0,10,0,,,,,,,,,,,,"
"235,45.1294,-76.1288,25,75,0,0,15,0,100,5,94,-1,94,8,94,0,72,-22,89,-5"
"200,44.1099,-77.5524,45,50,0,0,10,0,89,-6,95,6,95,-5,94,-6,81,-9,88,-12"
"280,45.37166,-75.6566,80,45,20,20,20,0,97,16,89,16,97,5,100,10,91,8,97,2"
"210,45.35568,-75.3537,80,25,0,0,15,0,100,3,96,2,96,9,100,0,83,-17,91,-1"
"210,45.43258,-75.682,80,40,20,20,20,0,65,-23,71,-17,47,-41,97,14,85,38,82,35"
"130,45.18171,-75.3553,40,60,0,0,20,0,95,3,84,-16,63,-22,100,8,100,42,92,17"
"430,45.37266,-75.6713,60,50,0,0,10,0,100,10,83,-5,81,-5,100,2,88,-5,89,-4"
"380,46.58498,-81.1981,70,25,0,0,20,0,95,15,83,11,88,8,94,1,68,-18,76,-3"
"225,46.65142,-80.9465,70,30,0,0,20,0,85,-10,77,-18,69,-1,90,3,52,-35,78,17"
"245,46.53269,-84.3358,40,60,0,0,10,0,74,17,70,19,70,33,94,16,76,6,76,6"
"95,46.13587,-80.4292,80,10,0,0,20,0,85,-1,69,5,92,-8,65,-8,76,12,47,11"
"200,46.55088,-80.8827,50,55,0,5,10,0,61,9,50,6,61,25,100,15,91,10,100,42"
"340,46.47845,-81.0069,85,15,0,5,15,0,90,12,78,0,68,-15,86,-7,58,-14,53,-24"
"170,46.18605,-82.9519,60,40,0,0,10,0,88,-12,62,-38,75,-25,92,-8,92,2,75,5"
"145,47.99216,-84.7776,25,80,0,0,10,0,94,2,65,-35,82,7,100,0,91,-1,82,-18"
"85,46.50331,-80.9947,70,30,20,20,10,0,60,-18,53,-14,47,-47,100,10,64,-6,91,21"
"145,46.43566,-81.1487,30,70,0,5,10,0,76,23,76,16,76,-11,88,3,67,5,58,-19"
"180,46.48887,-80.9315,70,35,0,0,15,0,92,-8,92,-8,88,-3,88,-6,65,-23,65,-29"
"125,46.59143,-81.3282,55,45,0,0,15,0,95,-5,89,-7,84,-12,100,0,81,-4,94,-6"
"260,46.5525,-81.1153,80,15,0,0,15,0,88,6,74,2,56,-19,87,1,59,-22,82,1"
"245,46.52156,-80.9687,65,35,5,5,10,0,93,12,66,8,72,7,95,-2,76,-12,78,-19"
"400,46.60967,-81.0144,75,25,0,0,20,0,98,-2,94,5,100,0,100,2,86,-12,95,0"
"405,42.32452,-82.9593,30,80,0,0,15,0,86,-1,80,-4,71,-3,97,9,80,22,93,20"
"520,42.20613,-83.0765,22,83,0,0,8,0,96,8,98,12,83,-3,98,3,93,8,87,-8"
"400,42.25885,-83.0346,35,80,0,0,15,0,100,7,100,0,100,7,96,8,84,10,89,5"
"435,42.28787,-82.7335,25,80,0,0,15,0,60,-8,47,-15,53,-25,94,0,74,0,87,-4"
"250,42.30149,-82.8844,30,75,0,0,20,0,92,-5,79,-21,88,3,100,9,82,4,93,21"
"265,42.28933,-83.0473,45,75,15,15,10,0,74,1,71,8,61,8,96,20,83,1,75,4"
"360,42.09782,-83.0985,10,90,0,0,10,0,87,9,82,4,63,-4,93,1,74,-5,91,2"
"450,42.04378,-82.5942,15,90,0,0,15,0,79,-7,76,-12,69,-19,88,6,64,-2,78,22"
"90,42.30625,-82.5479,10,90,0,0,20,0,87,37,60,-11,53,-18,83,23,58,25,58,18"
"125,42.46257,-82.3183,5,90,0,0,20,0,83,10,75,-12,58,-9,71,1,14,-56,43,-57"
"270,42.39183,-82.2917,30,70,0,0,30,0,62,-6,38,-30,57,-20,86,12,59,-15,69,-9"
"510,42.30812,-82.96,50,70,5,5,17,0,88,1,88,-8,72,-17,97,8,92,5,97,10"
"160,42.1449,-82.9682,10,90,0,0,15,0,92,42,92,30,83,8,93,-7,59,-22,72,-23"
"145,44.56424,-80.9251,30,70,0,0,15,0,56,14,69,36,44,11,80,13,30,-37,70,18"
"460,42.32098,-82.8742,20,80,0,0,20,0,98,3,100,5,93,7,95,0,91,3,88,-1"
"420,45.54392,-75.2882,80,20,0,0,15,0,80,9,74,16,74,24,89,15,73,8,57,-8"
"255,45.27611,-75.2882,50,50,0,0,10,0,78,-3,78,-10,87,25,100,13,100,9,93,2"
"595,45.3485,-75.9367,63,68,5,5,7,0,92,-1,88,-3,88,-5,95,1,90,9,90,-2"
"240,45.30454,-75.09,65,35,0,0,15,0,81,10,45,-26,77,1,94,8,94,12,94,-1"
"305,45.82381,-77.1216,30,70,0,0,0,0,84,23,47,-5,79,-21,100,0,82,-7,100,6"
"715,45.27875,-75.8587,56,70,5,6,7,0,93,0,87,-6,85,-4,92,-6,74,-18,76,-16"
"690,45.2882,-75.7263,63,74,6,6,6,0,91,2,79,-17,78,-6,97,-2,85,-13,83,-6"
"365,45.26721,-75.6932,65,70,5,5,0,0,60,-7,40,-18,40,-22,88,6,62,-32,69,-13"
"115,45.306,-74.6314,55,45,5,5,15,0,100,0,82,-18,91,8,77,2,62,-18,77,7"
"620,45.4397,-75.6706,67,52,6,6,8,0,85,5,60,-11,65,-15,98,2,84,2,93,4"
"320,43.03803,-79.2939,0,100,0,0,10,0,90,2,97,15,81,5,86,0,86,-2,75,1"
"215,43.0752,-79.6525,0,100,0,0,10,0,100,30,85,5,77,-3,100,20,91,11,65,-5"
"230,43.18614,-79.213,10,100,10,5,25,0,89,7,89,3,84,-2,83,-4,87,0,61,0"
"225,43.10616,-79.1063,10,100,5,0,15,0,90,14,86,10,86,14,78,4,78,4,59,27"
"455,43.2164,-79.1303,5,100,0,5,10,0,98,11,91,2,89,8,86,-2,86,1,51,-12"
"235,42.8905,-79.2445,0,100,0,0,25,0,83,2,79,-6,58,-7,94,21,97,20,62,27"
"365,42.97307,-79.2355,5,100,0,0,30,0,82,7,86,14,75,16,57,24,66,37,31,26"
"250,43.18333,-79.2084,5,100,0,0,25,0,100,0,100,0,100,16,92,0,88,0,75,-13"
"245,43.14763,-79.2496,10,100,10,10,20,0,83,-3,90,4,72,-5,70,11,74,7,43,32"
"380,43.15037,-79.2117,10,100,0,5,20,0,72,-18,84,-6,72,-8,90,11,72,5,45,16"
"410,42.9952,-79.2623,15,100,10,10,20,0,69,-25,72,-28,62,-26,82,11,85,20,52,17"
"695,43.08316,-79.1375,23,100,4,4,14,0,58,-25,60,-23,52,-24,88,13,89,10,69,8"
"230,43.04189,-79.5,0,100,0,0,10,0,93,3,93,-7,64,-21,91,-2,87,0,57,-16"
"465,42.90534,-78.9569,0,100,0,5,20,0,92,13,79,4,70,14,85,-9,84,2,51,-19"
"215,43.00777,-79.2554,0,100,5,0,20,0,73,-22,73,-22,60,-11,78,-3,74,-14,44,-12"
"360,43.03973,-79.2846,10,95,5,5,10,0,90,-10,88,-12,80,-10,97,8,94,5,82,24"
"475,43.00448,-79.2788,5,100,0,5,10,0,98,7,88,3,90,5,79,-11,86,6,58,11"
"160,43.1955,-79.2815,10,100,0,5,10,0,89,0,79,-5,79,-5,100,7,100,7,100,13"
"230,43.19201,-79.5271,0,100,0,0,10,0,79,-17,75,-9,62,-6,81,11,86,21,57,2"
"375,43.1646,-79.2756,15,100,0,0,15,0,88,25,93,26,79,20,100,19,97,14,58,4"
"310,43.09423,-79.1225,10,100,0,5,10,0,76,-11,72,-18,68,-16,80,-2,73,-6,37,-20"
